file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,top4_plurality,top4_IRV,top4_top-two,top4_borda-pm,top4_borda-om-no-uwi,top4_borda-avg-no-uwi,top4_top-3-truncation,top4_condorcet,top4_minimax,top4_smith_plurality,top4_smith_irv,top4_smith-minimax,top4_ranked-pairs,top4_bucklin,top4_approval
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,8,['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['STARMER Karyn'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,3,['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,5,['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,4,['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,7,['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['GREEN Paul'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['GREEN Paul'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,6,['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,3,['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,5,['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,3,['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,7,['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,6,['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,5,['MILES Zac'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,5,['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,7,['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,4,['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,8,['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['BAKER Loretta'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,4,['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,4,['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,10,['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael'],['LYON Michael']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,8,['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason'],['HAMLING Jason']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hornsby-mayoral-finalpreferencedatafile.csv,3,['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip'],['RUDDOCK Philip']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,8,['CAMPBELL Liz'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['CAMPBELL Liz'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo'],['HAUVILLE Leo']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Burwood-mayoral-finalpreferencedatafile.csv,5,['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John'],['FAKER John']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Wollongong-mayoral-finalpreferencedatafile.csv,7,['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BROWN Tania'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon'],['BRADBERY Gordon']
