file,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
Alaska/Alaska_11082022_HouseDistrict21.csv,3,"['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']"
Alaska/Alaska_11082022_HouseDistrict35.csv,5,"['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']"
Alaska/Alaska_11082022_HouseDistrict19.csv,3,"['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']"
Alaska/Alaska_11082022_HouseDistrict31.csv,4,"['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['LeBon, Barton S.']","['Dibert, Maxine L.']"
Alaska/Alaska_11082022_HouseDistrict25.csv,3,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
Alaska/Alaska_11082022_HouseDistrict24.csv,4,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
Alaska/Alaska_11082022_HouseDistrict30.csv,4,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']"
Alaska/Alaska_11082022_HouseDistrict18.csv,4,"['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']"
Alaska/Alaska_11082022_HouseDistrict26.csv,3,"['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']"
Alaska/Alaska_11082022_HouseDistrict32.csv,4,"['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']"
Alaska/Alaska_11052024_StateHouseD40.csv,4,"['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']"
Alaska/Alaska_11082022_HouseDistrict33.csv,2,"['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']"
Alaska/Alaska_11082022_HouseDistrict27.csv,4,"['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']"
Alaska/Alaska_11082022_HouseDistrict40.csv,2,"['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']"
Alaska/Alaska_11052024_StateHouseD33.csv,2,"['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']"
Alaska/Alaska_11052024_StateHouseD27.csv,3,"['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']","['Underwood, Jubilee L.']"
Alaska/Alaska_11082022_HouseDistrict1.csv,3,"['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']","['Ortiz, Daniel H. ""Dan""']"
Alaska/Alaska_11052024_StateHouseD26.csv,2,"['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']","['Tilton, Cathy']"
Alaska/Alaska_11052024_StateHouseD32.csv,3,"['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']","['Stapp, Will']"
Alaska/Alaska_11052024_StateHouseD1.csv,4,"['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']","['Bynum, Jeremy T.']"
Alaska/Alaska_11082022_SenateDistrictA.csv,3,"['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']","['Stedman, Bert K.']"
